# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-skitter.graph        network      KAHIP_TP      8-dimHQ      2     936.733     102442      48718     246.3     2703675.0     6624489.0
as-skitter.graph        network      KAHIP_TP      8-dimHQ      3     942.839     80646      34826     252.483     2712136.0     6767795.0
as-skitter.graph        network      KAHIP_TP      8-dimHQ      4     986.392     168961      32886     268.518     2708041.0     6602592.0
as-skitter.graph        network      KAHIP_TP      8-dimHQ      5     936.139     112844      36888     253.248     2709745.0     6826060.0
as-skitter.graph        network      KAHIP_TP      torus16x16      1     1508.59     217678      64575     496.697     2747321.0     12167090.0
as-skitter.graph        network      KAHIP_TP      torus16x16      2     1443.83     205194      60792     487.549     2814686.0     12756235.0
as-skitter.graph        network      KAHIP_TP      torus16x16      3     1627.84     225667      55626     480.071     2900679.0     12535121.0
as-skitter.graph        network      KAHIP_TP      torus16x16      4     1440.44     231536      56530     492.986     2781334.0     12406477.0
as-skitter.graph        network      KAHIP_TP      torus16x16      5     1475.2     232915      52164     486.972     2774912.0     12456257.0
as-skitter.graph        network      KAHIP_TP      torus8x8x8      1     1228.68     103937      17843     151.451     3302596.0     11158912.0
as-skitter.graph        network      KAHIP_TP      torus8x8x8      2     1231.34     95934      23353     148.363     3181754.0     10442657.0
as-skitter.graph        network      KAHIP_TP      torus8x8x8      3     1239.85     91664      19218     145.43     3199209.0     10460493.0
as-skitter.graph        network      KAHIP_TP      torus8x8x8      4     1180.98     146181      20343     144.529     3179553.0     10627505.0
as-skitter.graph        network      KAHIP_TP      torus8x8x8      5     1200.89     111068      23464     141.008     3254220.0     10614525.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      1     217.9514     16407      7467     155.977     323443.0     2376005.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      2     217.9514     14532      4914     144.597     323081.0     2189061.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      3     217.9514     18848      7616     149.584     322817.0     2269943.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      4     217.9514     16196      9051     156.251     322670.0     2374386.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      5     217.9514     14138      4960     138.655     322640.0     2102152.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      1     367.7166     6716      2856     64.0375     382680.0     2089864.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      2     367.7166     7241      2832     65.3757     380462.0     2129811.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      3     367.7166     8176      3072     65.6211     380849.0     2137017.0
citationCiteseer.graph        dimacs      KAHIP      grid8x8x8      4     367.7166     6496      2632     64.4877     380136.0     2102235.0
