# FILE   COLLECTION    METHOD    UBFACTOR  TOPO     SEED     TIME
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      6       57.2531
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      7       55.8897
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      8       57.3316
citationCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      9       56.1951
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      10       4.00477
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      1       3.99057
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      2       3.97455
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      3       3.95642
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      4       3.93488
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      5       3.97421
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      6       3.96802
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      7       3.94856
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      8       3.97006
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid16x16      9       3.9499
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      10       7.03112
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      1       7.11029
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      2       7.03631
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      3       7.14187
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      4       7.05508
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      5       7.06795
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      6       7.09214
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      7       7.08617
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      8       7.0486
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      9       7.04936
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      10       13.96
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      1       13.9662
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      2       13.8652
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      3       14.0053
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      4       13.9237
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      5       13.9635
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      6       13.8772
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      7       13.854
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      8       13.8641
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      9       14.0269
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      10       13.748
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      1       13.7906
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      2       13.6878
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      3       13.6977
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      4       13.6831
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      5       13.7297
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      6       13.7176
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      7       13.757
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      8       13.9139
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus16x16      9       13.8927
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      10       5.80467
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      1       5.77509
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      2       5.7204
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      3       5.73145
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      4       5.72456
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      5       5.79742
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      6       5.72066
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      7       5.80928
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      8       5.79156
coAuthorsCiteseer.graph        dimacs       SCOTCH       3       torus8x8x8      9       5.78537
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      10       19.8975
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      1       19.2697
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      2       19.2696
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      3       19.3237
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      4       19.2797
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      5       19.2731
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      6       19.253
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      7       19.2203
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      8       19.2184
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid16x16      9       19.586
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      10       23.0274
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      1       23.0708
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      2       23.0275
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      3       23.1512
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      4       23.1175
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      5       23.1089
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      6       23.084
coAuthorsDBLP.graph        dimacs       SCOTCH       3       grid8x8x8      7       23.1354
