# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
as-skitter.graph        network      KAHIP      torus8x8x8      4     2557.827     89480      49400     224.59     2784259.0     10492183.0
as-skitter.graph        network      KAHIP      torus8x8x8      5     2557.827     84429      35206     222.191     2791435.0     10561869.0
as-skitter.graph        network      KAHIP_ID      grid16x16      1     2288.18     248747      41084     571.356     3021768.0     13378865.0
as-skitter.graph        network      KAHIP_ID      grid16x16      2     2160.49     309999      59619     527.726     2998732.0     12143500.0
as-skitter.graph        network      KAHIP_ID      grid16x16      3     2105.96     297374      52120     562.51     3010107.0     13521056.0
as-skitter.graph        network      KAHIP_ID      grid16x16      4     2169.22     293602      53985     524.366     2986174.0     11978090.0
as-skitter.graph        network      KAHIP_ID      grid16x16      5     2081.6     299561      95529     561.614     2977575.0     13081121.0
as-skitter.graph        network      KAHIP_ID      grid8x8x8      1     1708.65     161331      26013     191.915     3354792.0     10663922.0
as-skitter.graph        network      KAHIP_ID      grid8x8x8      2     1584.7     124708      24718     188.941     3384673.0     10927193.0
as-skitter.graph        network      KAHIP_ID      grid8x8x8      3     1585.37     127504      23043     202.884     3396103.0     10774339.0
as-skitter.graph        network      KAHIP_ID      grid8x8x8      4     1618.81     159958      31560     188.655     3433806.0     11144996.0
as-skitter.graph        network      KAHIP_ID      grid8x8x8      5     1504.95     119319      20339     190.633     3454752.0     11306234.0
as-skitter.graph        network      KAHIP_ID       8-dimHQ      1     947.469     104955      39633     265.107     2648282.0     6056115.0
as-skitter.graph        network      KAHIP_ID       8-dimHQ      2     928.995     139913      35833     259.846     2673175.0     6001398.0
as-skitter.graph        network      KAHIP_ID       8-dimHQ      3     944.026     120160      48842     263.781     2632515.0     6025024.0
as-skitter.graph        network      KAHIP_ID       8-dimHQ      4     942.061     106821      43856     272.048     2633887.0     6045175.0
as-skitter.graph        network      KAHIP_ID       8-dimHQ      5     954.083     98186      41914     269.251     2641928.0     5968477.0
as-skitter.graph        network      KAHIP_ID      torus16x16      1     1409.98     199916      56960     480.364     2670235.0     11265021.0
as-skitter.graph        network      KAHIP_ID      torus16x16      2     1415.34     296584      52392     471.904     2778034.0     11324753.0
as-skitter.graph        network      KAHIP_ID      torus16x16      3     1399.46     232787      47319     475.625     2667456.0     11569110.0
as-skitter.graph        network      KAHIP_ID      torus16x16      4     1352.45     221063      45892     468.02     2701116.0     11224057.0
as-skitter.graph        network      KAHIP_ID      torus16x16      5     1377.94     237754      76479     475.478     2681805.0     11179924.0
as-skitter.graph        network      KAHIP_ID      torus8x8x8      1     1174.68     119968      24105     152.36     3077011.0     9692967.0
as-skitter.graph        network      KAHIP_ID      torus8x8x8      2     1145.45     85233      21932     155.069     3039901.0     9736780.0
as-skitter.graph        network      KAHIP_ID      torus8x8x8      3     1178.18     123197      23580     158.07     3080921.0     9636266.0
as-skitter.graph        network      KAHIP_ID      torus8x8x8      4     1162.77     89701      20367     157.468     3078559.0     9763032.0
as-skitter.graph        network      KAHIP_ID      torus8x8x8      5     1149.92     78256      17858     152.643     3139411.0     9883494.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      1     217.9514     15607      5168     132.246     323443.0     2014504.0
citationCiteseer.graph        dimacs      KAHIP      grid16x16      2     217.9514     15772      9243     135.232     323081.0     2047276.0
