# graph  collection  method   topo  seeds  duration   maxCongestion    maxDilation    avgDilation  Cut   TCV
citationCiteseer.graph        dimacs      KAHIP_GR      grid8x8x8      2     430.598     4648      2280     36.7121     437600.0     1365139.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid8x8x8      3     433.555     5321      1659     36.6852     446905.0     1402439.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid8x8x8      4     417.49     5791      1410     37.4054     445123.0     1445680.0
citationCiteseer.graph        dimacs      KAHIP_GR      grid8x8x8      5     427.646     5245      1608     36.9008     444116.0     1366733.0
citationCiteseer.graph        dimacs      KAHIP_GR      8-dimHQ      1     241.029     5069      1753     47.4324     354047.0     787615.0
citationCiteseer.graph        dimacs      KAHIP_GR      8-dimHQ      2     237.952     4816      1969     47.3081     356711.0     786923.0
citationCiteseer.graph        dimacs      KAHIP_GR      8-dimHQ      3     243.593     5053      1691     46.9692     359679.0     779735.0
citationCiteseer.graph        dimacs      KAHIP_GR      8-dimHQ      4     234.81     3831      2080     47.6399     355180.0     786440.0
citationCiteseer.graph        dimacs      KAHIP_GR      8-dimHQ      5     238.945     3993      1869     47.4941     355609.0     787405.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus16x16      1     387.871     8291      2395     76.0113     362406.0     1259128.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus16x16      2     385.428     8680      2360     77.0116     356290.0     1261604.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus16x16      3     380.821     8566      2160     79.3761     350123.0     1288036.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus16x16      4     375.061     7159      2765     76.8559     355954.0     1269890.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus16x16      5     382.152     8435      2720     76.2813     358407.0     1257421.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus8x8x8      1     314.302     4511      1474     32.9631     431088.0     1198242.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus8x8x8      2     305.727     3993      1480     32.8005     429376.0     1193544.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus8x8x8      3     298.008     4879      1683     33.495     419616.0     1190645.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus8x8x8      4     307.363     4310      1186     32.7753     430982.0     1184828.0
citationCiteseer.graph        dimacs      KAHIP_GR      torus8x8x8      5     298.398     4032      1345     32.2677     430720.0     1152732.0
coAuthorsCiteseer.graph        dimacs      KAHIP      grid16x16      1     58.12073     4032      3000     39.2452     84929.0     602964.0
