# FILE    METHOD   UBFACTOR     NPARTS     SEED     CUT     TIME
p2p-Gnutella04.graph       KAHIP       3       256      4      21550     16.0249
p2p-Gnutella04.graph       KAHIP       3       256      5      21533     16.2893
p2p-Gnutella04.graph       KAHIP       3       256      6      21580     16.0296
p2p-Gnutella04.graph       KAHIP       3       256      7      21488     16.4134
p2p-Gnutella04.graph       KAHIP       3       256      8      21502     16.1222
p2p-Gnutella04.graph       KAHIP       3       256      9      21464     16.9023
p2p-Gnutella04.graph       KAHIP       3       512      1      22523     17.3218
p2p-Gnutella04.graph       KAHIP       3       512      2      22570     17.2524
p2p-Gnutella04.graph       KAHIP       3       512      3      22541     17.2887
p2p-Gnutella04.graph       KAHIP       3       512      4      22542     17.4067
p2p-Gnutella04.graph       KAHIP       3       512      5      22552     17.2072
p2p-Gnutella04.graph       KAHIP       3       512      6      22557     17.3398
p2p-Gnutella04.graph       KAHIP       3       512      7      22532     17.383
p2p-Gnutella04.graph       KAHIP       3       512      8      22527     18.2704
p2p-Gnutella04.graph       KAHIP       3       512      9      22533     17.1745
p2p-Gnutella04.graph       KAHIP       3      512     10      22515     17.3628
p2p-Gnutella04.graph       KAHIP       3      256     10      21476     16.2343
soc-Slashdot0902.graph       KAHIP       3       256      1      324670     907.777
soc-Slashdot0902.graph       KAHIP       3       256      2      324769     887.626
soc-Slashdot0902.graph       KAHIP       3       256      3      325025     846.272
soc-Slashdot0902.graph       KAHIP       3       256      4      325167     895.808
soc-Slashdot0902.graph       KAHIP       3       256      5      324546     924.986
soc-Slashdot0902.graph       KAHIP       3       256      6      324953     922.521
soc-Slashdot0902.graph       KAHIP       3       256      7      325408     905.376
soc-Slashdot0902.graph       KAHIP       3       256      8      325194     880.17
soc-Slashdot0902.graph       KAHIP       3       256      9      324960     854.728
soc-Slashdot0902.graph       KAHIP       3       512      1      335687     1675.09
soc-Slashdot0902.graph       KAHIP       3       512      2      335641     1706.17
soc-Slashdot0902.graph       KAHIP       3       512      3      335665     1671.82
soc-Slashdot0902.graph       KAHIP       3       512      4      335680     1758.49
soc-Slashdot0902.graph       KAHIP       3       512      5      335561     1581.94
soc-Slashdot0902.graph       KAHIP       3       512      6      335450     1673.72
soc-Slashdot0902.graph       KAHIP       3       512      7      335566     1687.14
soc-Slashdot0902.graph       KAHIP       3       512      8      335314     1666.21
soc-Slashdot0902.graph       KAHIP       3       512      9      335116     1631.89
soc-Slashdot0902.graph       KAHIP       3      512     10      335792     1663.38
soc-Slashdot0902.graph       KAHIP       3      256     10      325051     853.703
web-Google.graph       KAHIP       3       256      1      172872     121.471
web-Google.graph       KAHIP       3       256      2      173154     129.96
web-Google.graph       KAHIP       3       256      3      172087     126.83
web-Google.graph       KAHIP       3       256      4      173423     130.495
web-Google.graph       KAHIP       3       256      5      174836     130.756
web-Google.graph       KAHIP       3       256      6      173260     136.507
web-Google.graph       KAHIP       3       256      7      172351     129.529
web-Google.graph       KAHIP       3       256      8      173270     133.503
web-Google.graph       KAHIP       3       256      9      175542     129.025
web-Google.graph       KAHIP       3       512      1      247053     137.12
web-Google.graph       KAHIP       3       512      2      249641     132.823
web-Google.graph       KAHIP       3       512      3      249095     130.687
web-Google.graph       KAHIP       3       512      4      248266     130.361
web-Google.graph       KAHIP       3       512      5      249430     129.783
web-Google.graph       KAHIP       3       512      6      249123     132.173
web-Google.graph       KAHIP       3       512      7      247713     131.243
web-Google.graph       KAHIP       3       512      8      248136     129.104
web-Google.graph       KAHIP       3       512      9      249602     129.267
web-Google.graph       KAHIP       3      512     10      248436     127.299
web-Google.graph       KAHIP       3      256     10      172013     120.356
wiki-Talk.graph       KAHIP       3       256      1      1186742     1729.05
wiki-Talk.graph       KAHIP       3       256      2      1191040     1657.48
wiki-Talk.graph       KAHIP       3       256      3      1193646     1649.46
wiki-Talk.graph       KAHIP       3       256      4      1192663     1684.39
wiki-Talk.graph       KAHIP       3       256      5      1197204     1469.77
wiki-Talk.graph       KAHIP       3       256      6      1184537     2000.0
wiki-Talk.graph       KAHIP       3       256      7      1193456     1707.27
wiki-Talk.graph       KAHIP       3       256      8      1191281     1681.33
wiki-Talk.graph       KAHIP       3       256      9      1184306     1543.24
wiki-Talk.graph       KAHIP       3       512      1      1232750     4281.05
wiki-Talk.graph       KAHIP       3       512      2      1233946     3855.91
wiki-Talk.graph       KAHIP       3       512      3      1234649     3880.01
wiki-Talk.graph       KAHIP       3       512      4      1233335     4232.71
wiki-Talk.graph       KAHIP       3       512      5      1233806     4191.2
wiki-Talk.graph       KAHIP       3       512      6      1231767     4014.5
wiki-Talk.graph       KAHIP       3       512      7      1232696     4030.83
wiki-Talk.graph       KAHIP       3       512      8      1231701     3978.43
wiki-Talk.graph       KAHIP       3       512      9      1233683     3924.42
wiki-Talk.graph       KAHIP       3      512     10      1233990     4057.34
wiki-Talk.graph       KAHIP       3      256     10      1195407     1450.74
